period_month,unique_export_voyages,global_export_lng_volume,active_edges,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_activity_watch
2020-01-01,108,18341749,115,0.7526132404181185,0.7749597373077851,0.8846153846153846,False
2020-02-01,119,20101103,112,0.8292682926829268,0.8492944429932353,0.8615384615384616,False
2020-03-01,98,16365149,108,0.6829268292682927,0.6914461412618154,0.8307692307692308,True
2020-04-01,92,15672288,89,0.6411149825783972,0.6621719767014559,0.6846153846153846,True
2020-05-01,101,17691055,104,0.7038327526132404,0.7474671764125427,0.8,False
2020-06-01,93,15935969,96,0.6480836236933798,0.6733127985768972,0.7384615384615385,True
2020-07-01,84,14032618,96,0.5853658536585366,0.5928940560150777,0.7384615384615385,True
2020-08-01,77,12811494,88,0.5365853658536586,0.5413001794300132,0.676923076923077,True
2020-09-01,82,13121170,102,0.5714285714285714,0.5543843423203965,0.7846153846153846,True
2020-10-01,88,14742842,105,0.6132404181184669,0.622901827055325,0.8076923076923077,True
2020-11-01,96,15600558,110,0.6689895470383276,0.6591413026933727,0.8461538461538461,True
2020-12-01,98,15393215,106,0.6829268292682927,0.6503808253358094,0.8153846153846154,True
2021-01-01,91,15205221,92,0.6341463414634146,0.6424378652148612,0.7076923076923077,True
2021-02-01,97,16052937,100,0.6759581881533101,0.6782548294897298,0.7692307692307693,True
2021-03-01,142,23603869,127,0.9895470383275261,0.9972902867489557,0.9769230769230769,False
2021-04-01,131,21461197,124,0.9128919860627178,0.906759959992399,0.9538461538461539,False
2021-05-01,141,23536873,127,0.9825783972125436,0.9944596296202014,0.9769230769230769,False
2021-06-01,118,19945199,134,0.8222996515679443,0.8427073218367287,1.0307692307692307,False
2021-07-01,128,21553563,128,0.89198606271777,0.9106625284495385,0.9846153846153847,False
2021-08-01,113,18743284,126,0.7874564459930313,0.7919250473291948,0.9692307692307692,False
2021-09-01,132,22754895,131,0.9198606271777003,0.9614201705445992,1.0076923076923077,False
2021-10-01,147,25028568,123,1.024390243902439,1.0574854384099377,0.9461538461538461,False
2021-11-01,119,19890498,132,0.8292682926829268,0.8403961424290031,1.0153846153846153,False
2021-12-01,150,24988095,130,1.0452961672473868,1.055775408169743,1.0,False
2022-01-01,149,24941809,126,1.038327526132404,1.0538197720741325,0.9692307692307692,False
2022-02-01,126,20839538,112,0.8780487804878049,0.880494160840147,0.8615384615384616,False
2022-03-01,170,28304905,133,1.1846689895470384,1.1959143996203312,1.023076923076923,False
2022-04-01,169,28831590,130,1.1777003484320558,1.2181674393519266,1.0,False
2022-05-01,166,28142410,139,1.156794425087108,1.1890488012243534,1.0692307692307692,False
2022-06-01,156,25938850,145,1.0871080139372822,1.0959458872796721,1.1153846153846154,False
2022-07-01,158,27009602,143,1.1010452961672474,1.1411863759943408,1.1,False
2022-08-01,160,26649106,139,1.1149825783972125,1.1259550103562816,1.0692307692307692,False
2022-09-01,145,23732136,147,1.0104529616724738,1.0027097132510443,1.1307692307692307,False
2022-10-01,171,28378578,153,1.1916376306620209,1.1990271675862803,1.176923076923077,False
2022-11-01,170,28700253,143,1.1846689895470384,1.2126183018613421,1.1,False
2022-12-01,173,29069060,140,1.2055749128919862,1.2282008166933394,1.0769230769230769,False
2023-01-01,169,28268092,140,1.1777003484320558,1.1943590085390603,1.0769230769230769,False
2023-02-01,191,32137959,165,1.3310104529616724,1.3578652866882197,1.2692307692307692,False
2023-03-01,221,36087484,176,1.5400696864111498,1.5247372058541906,1.353846153846154,False
2023-04-01,201,33706754,165,1.4006968641114983,1.4241486580880665,1.2692307692307692,False
2023-05-01,208,34638525,181,1.4494773519163764,1.4635170416261365,1.3923076923076922,False
2023-06-01,189,30845426,165,1.3170731707317074,1.30325429870983,1.2692307692307692,False
2023-07-01,182,30129450,162,1.2682926829268293,1.273003499133482,1.2461538461538462,False
2023-08-01,173,28552337,149,1.2055749128919862,1.206368682781743,1.146153846153846,False
2023-09-01,190,31048066,176,1.32404181184669,1.31181606897329,1.353846153846154,False
2023-10-01,226,37732437,174,1.5749128919860627,1.5942383392937363,1.3384615384615384,False
2023-11-01,203,33538215,184,1.4146341463414633,1.417027693824183,1.4153846153846155,False
2023-12-01,237,38768381,189,1.651567944250871,1.6380081504554513,1.4538461538461538,False
2024-01-01,213,35284545,183,1.4843205574912892,1.490812120710229,1.4076923076923078,False
2024-02-01,209,34218584,178,1.456445993031359,1.4457740571896593,1.3692307692307693,False
2024-03-01,205,33211928,177,1.4285714285714286,1.403241697308423,1.3615384615384616,False
2024-04-01,197,31834679,179,1.372822299651568,1.3450513620657256,1.376923076923077,False
2024-05-01,147,24579945,139,1.024390243902439,1.0385306068815905,1.0692307692307692,False
2024-06-01,109,18831260,110,0.759581881533101,0.7956421332978987,0.8461538461538461,False
2024-07-01,119,20891007,120,0.8292682926829268,0.8826687845752932,0.9230769230769231,False
2024-08-01,120,19815927,126,0.8362369337979094,0.8372454329426406,0.9692307692307692,False
2024-09-01,108,18591492,109,0.7526132404181185,0.7855116628452274,0.8384615384615385,False
2024-10-01,115,18973395,106,0.8013937282229965,0.8016474985584441,0.8153846153846154,False
2024-11-01,70,11479472,86,0.4878048780487805,0.4850207363295656,0.6615384615384615,True
2024-12-01,82,14334265,90,0.5714285714285714,0.6056389845319646,0.6923076923076923,True
