period_month,country_role,countries,total_throughput
2020-01-01,net_exporter,11,18479869
2020-01-01,net_importer,22,18203629
2020-02-01,net_exporter,9,20239162
2020-02-01,net_importer,21,19963044
2020-03-01,net_exporter,9,16503208
2020-03-01,net_importer,23,16227090
2020-04-01,net_exporter,9,15672288
2020-04-01,net_importer,20,15672288
2020-05-01,net_exporter,10,17828595
2020-05-01,net_importer,23,17553515
2020-06-01,net_exporter,10,16269069
2020-06-01,net_importer,19,15602869
2020-07-01,net_exporter,10,14304718
2020-07-01,net_importer,22,13760518
2020-08-01,net_exporter,10,13084553
2020-08-01,net_importer,22,12538435
2020-09-01,net_exporter,9,13259229
2020-09-01,net_importer,21,12983111
2020-10-01,net_exporter,8,15015901
2020-10-01,net_importer,19,14469783
2020-11-01,net_exporter,8,15600558
2020-11-01,net_importer,23,15600558
2020-12-01,net_exporter,9,15531274
2020-12-01,net_importer,19,15255156
2021-01-01,net_exporter,9,15343280
2021-01-01,net_importer,17,15067162
2021-02-01,net_exporter,8,16187937
2021-02-01,net_importer,22,15917937
2021-03-01,net_exporter,9,23603869
2021-03-01,net_importer,24,23603869
2021-04-01,net_exporter,11,21671197
2021-04-01,net_importer,21,21251197
2021-05-01,net_exporter,10,23963093
2021-05-01,net_importer,25,23110653
2021-06-01,net_exporter,10,20332199
2021-06-01,net_importer,21,19558199
2021-07-01,net_exporter,9,21769563
2021-07-01,net_importer,24,21337563
2021-08-01,net_exporter,11,19306443
2021-08-01,net_importer,24,18180125
2021-09-01,net_exporter,10,23318954
2021-09-01,net_importer,22,22190836
2021-10-01,net_exporter,9,25376727
2021-10-01,net_importer,19,24680409
2021-11-01,net_exporter,10,20025498
2021-11-01,net_importer,22,19755498
2021-12-01,net_exporter,11,24988095
2021-12-01,net_importer,23,24988095
2022-01-01,net_exporter,11,24941809
2022-01-01,net_importer,23,24941809
2022-02-01,net_exporter,10,20977597
2022-02-01,net_importer,22,20701479
2022-03-01,net_exporter,10,28594853
2022-03-01,net_importer,21,28014957
2022-04-01,net_exporter,10,28831590
2022-04-01,net_importer,22,28831590
2022-05-01,net_exporter,12,28142410
2022-05-01,net_importer,24,28142410
2022-06-01,net_exporter,13,26076970
2022-06-01,net_importer,23,25800730
2022-07-01,net_exporter,14,27381802
2022-07-01,net_importer,23,26637402
2022-08-01,net_exporter,14,26787226
2022-08-01,net_importer,24,26510986
2022-09-01,net_exporter,14,23732136
2022-09-01,net_importer,21,23732136
2022-10-01,net_exporter,14,28547247
2022-10-01,net_importer,23,28209909
2022-11-01,net_exporter,15,28718253
2022-11-01,net_importer,22,28682253
2022-12-01,net_exporter,14,29279060
2022-12-01,net_importer,22,28859060
2023-01-01,net_exporter,13,28429181
2023-01-01,net_importer,23,28107003
2023-02-01,net_exporter,15,32271253
2023-02-01,net_importer,28,32004665
2023-03-01,net_exporter,16,37594984
2023-03-01,net_importer,29,34579984
2023-04-01,balanced,1,276546
2023-04-01,net_exporter,13,33439481
2023-04-01,net_importer,30,33697481
2023-05-01,net_exporter,13,34547451
2023-05-01,net_importer,30,34729599
2023-06-01,net_exporter,15,30902826
2023-06-01,net_importer,30,30788026
2023-07-01,net_exporter,12,29838378
2023-07-01,net_importer,29,30420522
2023-08-01,net_exporter,15,29138398
2023-08-01,net_importer,26,27966276
2023-09-01,net_exporter,16,31361793
2023-09-01,net_importer,28,30734339
2023-10-01,net_exporter,11,37368164
2023-10-01,net_importer,27,38096710
2023-11-01,balanced,1,276546
2023-11-01,net_exporter,15,33112321
2023-11-01,net_importer,30,33687563
2023-12-01,net_exporter,15,40028553
2023-12-01,net_importer,30,37508209
2024-01-01,net_exporter,14,35390252
2024-01-01,net_importer,35,35178838
2024-02-01,net_exporter,14,34980077
2024-02-01,net_importer,30,33457091
2024-03-01,net_exporter,14,33781449
2024-03-01,net_importer,27,32642407
2024-04-01,net_exporter,16,32503507
2024-04-01,net_importer,27,31165851
2024-05-01,net_exporter,10,24271945
2024-05-01,net_importer,29,24887945
2024-06-01,net_exporter,12,18113160
2024-06-01,net_importer,27,19549360
2024-07-01,net_exporter,11,20511634
2024-07-01,net_importer,26,21270380
2024-08-01,net_exporter,10,19284277
2024-08-01,net_importer,29,20347577
2024-09-01,net_exporter,8,17870219
2024-09-01,net_importer,24,19312765
2024-10-01,net_exporter,10,18413149
2024-10-01,net_importer,24,19533641
2024-11-01,net_exporter,10,11343982
2024-11-01,net_importer,22,11614962
2024-12-01,net_exporter,10,13976992
2024-12-01,net_importer,24,14691538
